,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,pymnt_plan,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,policy_code,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_rev_hi_lim
103428,6715533,8317793,9700.0,9700.0,9700.0, 36 months,11.55,320.1,1.0,7.0,5.0,RENT,50000.0,Source Verified,Aug-2013,n,debt_consolidation,consolidate ,920xx,CA,26.59,0.0,600.0,0.0,8.0,0.0,4930.0,38.5,12.0,w,0.0,0.0,11129.17,11129.17,9700.0,1429.17,0.0,0.0,0.0,Apr-2015,5047.27,,Jan-2016,0.0,1.0,INDIVIDUAL,0.0,0.0,50056.0,12800.0
826129,41880381,44837098,24000.0,24000.0,24000.0, 60 months,13.33,550.14,2.0,12.0,10.0,RENT,95000.0,Verified,Mar-2015,n,debt_consolidation,Debt consolidation,220xx,VA,10.42,0.0,573.0,0.0,23.0,0.0,24668.0,41.7,44.0,f,0.0,0.0,25485.93,25485.93,24000.0,1485.93,0.0,0.0,0.0,Aug-2015,23267.6,,Sep-2015,0.0,1.0,INDIVIDUAL,0.0,0.0,192328.0,59100.0
88614,7335989,3617419,10000.0,10000.0,10000.0, 60 months,16.2,244.25,2.0,13.0,9.0,MORTGAGE,41000.0,Verified,Sep-2013,n,debt_consolidation,lifechangingdebtrelief,531xx,WI,3.8,0.0,457.0,1.0,6.0,1.0,5520.0,82.4,14.0,f,0.0,0.0,11517.8716617,11517.87,10000.0,1517.87,0.0,0.0,0.0,Sep-2014,8831.62,,Oct-2015,0.0,1.0,INDIVIDUAL,0.0,0.0,130281.0,6700.0
185698,2044744,2386901,10000.0,10000.0,10000.0, 36 months,14.33,343.39,2.0,10.0,2.0,RENT,88500.0,Verified,Nov-2012,n,credit_card,credit card,982xx,WA,19.25,1.0,458.0,1.0,8.0,0.0,17136.0,65.2,31.0,w,0.0,0.0,12361.650008,12361.65,10000.0,2361.65,0.0,0.0,0.0,Nov-2015,343.0,,Jan-2016,0.0,1.0,INDIVIDUAL,0.0,0.0,82469.0,26300.0
190785,1620464,1892419,6000.0,6000.0,5975.0, 36 months,13.11,202.49,1.0,8.0,0.0,MORTGAGE,60000.0,Not Verified,Oct-2012,n,debt_consolidation,Reloading,980xx,WA,21.16,0.0,420.0,2.0,18.0,0.0,24860.0,63.6,48.0,f,0.0,0.0,6634.73,6607.09,6000.0,634.73,0.0,0.0,0.0,Sep-2013,4616.27,,Jan-2016,0.0,1.0,INDIVIDUAL,0.0,0.0,169142.0,39070.0
455579,10705452,11687330,11500.0,11500.0,11450.0, 36 months,12.85,386.66,1.0,8.0,1.0,MORTGAGE,87000.0,Verified,Jan-2014,n,debt_consolidation,Debt consolidation,481xx,MI,14.1,0.0,371.0,0.0,13.0,0.0,12936.0,43.7,42.0,f,0.0,0.0,12195.9133487,12142.89,11500.0,695.91,0.0,0.0,0.0,Jul-2014,10262.69,,Jan-2016,0.0,1.0,INDIVIDUAL,0.0,0.0,303734.0,29600.0
30331,510848,659709,6500.0,6500.0,6500.0, 36 months,10.25,210.51,1.0,6.0,7.0,RENT,66000.0,Not Verified,May-2010,n,other,Mid Age excitement.,189xx,PA,11.22,0.0,560.0,3.0,5.0,0.0,2868.0,41.0,8.0,f,0.0,0.0,7571.33,7571.33,6500.0,1071.33,0.0,0.0,0.0,May-2013,254.28,,Jan-2015,0.0,1.0,INDIVIDUAL,0.0,,,
860127,39700517,42524278,21000.0,21000.0,21000.0, 60 months,19.99,556.26,4.0,22.0,1.0,RENT,75732.0,Source Verified,Jan-2015,n,debt_consolidation,Debt consolidation,945xx,CA,19.35,0.0,567.0,2.0,10.0,0.0,9319.0,72.2,23.0,w,0.0,0.0,24255.48,24255.48,21000.0,3255.48,0.0,0.0,0.0,Nov-2015,19434.34,,Nov-2015,0.0,1.0,INDIVIDUAL,0.0,0.0,33790.0,12900.0
279280,31326447,33899621,27650.0,27650.0,27650.0, 60 months,16.99,687.03,3.0,17.0,0.0,MORTGAGE,117000.0,Verified,Oct-2014,n,home_improvement,Home improvement,559xx,MN,8.4,1.0,416.0,0.0,11.0,0.0,5772.0,22.0,19.0,w,0.0,0.0,30440.66,30440.66,27650.0,2790.66,0.0,0.0,0.0,May-2015,26370.68,,May-2015,0.0,1.0,INDIVIDUAL,0.0,0.0,132824.0,25950.0
200495,1503210,1764521,12000.0,12000.0,12000.0, 36 months,15.8,420.71,2.0,12.0,1.0,MORTGAGE,100622.0,Not Verified,Sep-2012,n,debt_consolidation,Credit Card Consolidation ,207xx,MD,16.88,4.0,423.0,2.0,8.0,0.0,11608.0,49.8,44.0,f,0.0,0.0,14796.874270299995,14796.87,12000.0,2796.87,0.0,0.0,0.0,Oct-2014,4708.5,,Jan-2016,0.0,1.0,INDIVIDUAL,0.0,0.0,95903.0,23300.0
